SYMBOL,NAME,INDUSTRY,MARKET_CAP
A,Agilent Technologies,Life Sciences Tools & Services,39414517697
AA,Alcoa,Metals & Mining,9584604110
AAC,Ares Acquisition,Blank Check / SPAC,1235000059
AACG,ATA Creativity Global,Diversified Consumer Services,60353322
AACI,Armada Acquisition I,Blank Check / SPAC,205645335
AADI,Aadi Bioscience,Biotechnology,276853240
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,100555878
AAL,American Airlines Group,Airlines,9741191165
AAMC,Altisource Asset Management,Real Estate Management & Development,34550274
AAME,Atlantic American,Insurance,60394653
AAN,The Aaron's Company,Specialty Retail,447806805
AAOI,Applied Optoelectronics,Communications Equipment,61342157
AAON,"AAON, Inc.",Building Products,3245332468
AAP,Advance Auto Parts,Specialty Retail,11971509118
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.70777E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,491000000
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2315098595
AATC,Autoscope Technologies,Scientific & Technical Instruments,27065279
AAU,Almaden Minerals,Metals & Mining,33083979
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2837480889
AB,AllianceBernstein Holding,Capital Markets,4310864354
ABB,ABB Ltd,Electrical Equipment,58463260657
ABBV,AbbVie,Biotechnology,2.51212E+11
ABC,AmerisourceBergen,Health Care Providers & Services,30719780760
ABCB,Ameris Bancorp,Banks,3393789399
ABCL,AbCellera Biologics,Biotechnology,3809457146
ABCM,Abcam,Biotechnology,3510248177
ABEO,Abeona Therapeutics,Biotechnology,27371623
ABEV,Ambev,Beverages,45650640893
ABG,Asbury Automotive Group,Specialty Retail,4031252360
ABGI,ABG Acquisition I,Blank Check / SPAC,190426110
ABIO,ARCA biopharma,Biotechnology,34582798
ABM,ABM Industries,Commercial Services & Supplies,3058227190
ABMD,Abiomed,Health Care Equipment & Supplies,13225938764
ABNB,Airbnb,"Hotels, Restaurants & Leisure",77699129229
ABOS,Acumen Pharmaceuticals,Biotechnology,214251871
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2714613752
ABSI,Absci,Biotechnology,444761084
ABST,Absolute Software,Software-Application,534371001
ABT,Abbott Laboratories,Health Care Equipment & Supplies,1.93492E+11
ABTX,Allegiance Bancshares,Banks,906791840
ABUS,Arbutus Biopharma,Biotechnology,370379007
ABVC,ABVC BioPharma,Biotechnology,18415159
AC,Associated Capital Group,Capital Markets,890573111
ACA,Arcosa,Construction & Engineering,3081327092
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,300300000
ACAD,ACADIA Pharmaceuticals,Biotechnology,2547408882
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,423487480
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,323026620
ACAX,Alset Capital Acquisition,Blank Check / SPAC,105983910
ACB,Aurora Cannabis,Pharmaceuticals,479372671
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,62658900
ACCD,Accolade,Health Care Technology,835286203
ACCO,ACCO Brands,Commercial Services & Supplies,643801919
