,OPEN,CLOSE,HIGH,LOW,ADJCLOSE,DATE,VOLUME,RSI_10,RSI_25,EMA_10,EMA_25,EMA_50,PGO_10,PGO_25,VIA_15,VIB_15,VIA_30,VIB_30,BOP,NAT_30,ETP_10,ETP_25,MAD_10,MAD_25,SIN_25,SIN_50,LIN_10,LIN_90,PREDICTION,TARGET_DIFF,TARGET_PCNT,TARGET_HI,TARGET_LO
89,0.12723,0.12723,0.12779,0.12723,0.09917,1981-04-22,18995200,63.47182,55.67885,0.12021,0.11779,0.11933,1.75402,2.75383,-0.39361,-0.43028,-0.44018,-0.47116,0.0,3.01985,3.36735,4.77974,0.00384,0.00422,-0.15082,-0.74492,0.12048,0.10893,0,0.0,1.0,0.13114,0.13058
90,0.13058,0.13058,0.13114,0.13058,0.10178,1981-04-23,58016000,66.86992,57.48799,0.1221,0.11877,0.11977,2.36054,3.49304,-0.34938,-0.40274,-0.4104,-0.45056,0.0,2.94573,3.36954,4.78903,0.00432,0.00465,0.7561,0.17044,0.12314,0.10927,0,-0.00112,0.87489,0.13058,0.12946
91,0.13058,0.12946,0.13058,0.12946,0.10091,1981-04-24,35056000,64.63627,56.68222,0.12344,0.1196,0.12015,1.84311,3.01392,-0.31568,-0.37027,-0.39109,-0.42626,-1.0,2.83534,3.36695,4.79753,0.00473,0.00495,0.97975,0.84401,0.12534,0.10943,0,-0.00056,0.93255,0.12891,0.12835
92,0.12891,0.12835,0.12891,0.12835,0.10004,1981-04-27,38528000,62.3431,55.87373,0.12433,0.12027,0.12047,1.4351,2.56798,-0.32264,-0.34106,-0.38686,-0.405,-1.0,2.73115,3.36184,4.80292,0.00504,0.00524,0.98132,0.98921,0.12717,0.10934,0,-0.00055,0.93255,0.12667,0.12612
93,0.12667,0.12612,0.12667,0.12612,0.0983,1981-04-28,32188800,57.76815,54.25427,0.12466,0.12072,0.12069,0.77388,1.88773,-0.36572,-0.33196,-0.39938,-0.39428,-1.0,2.71419,3.35544,4.80094,0.00518,0.00554,0.90274,0.98214,0.12818,0.1092,0,-0.00056,0.93052,0.125,0.12444
94,0.125,0.12444,0.125,0.12444,0.097,1981-04-29,13641600,54.42497,53.04767,0.12462,0.12101,0.12084,0.30453,1.36959,-0.40134,-0.34896,-0.42387,-0.39791,-1.0,2.66046,3.34891,4.79768,0.00518,0.00574,0.63997,0.90168,0.12863,0.10905,0,0.0,1.0,0.12779,0.12667
95,0.12667,0.12667,0.12779,0.12667,0.09873,1981-04-30,12611200,58.00906,54.44841,0.12499,0.12144,0.12107,0.71564,1.88281,-0.41111,-0.37798,-0.44833,-0.41362,0.0,2.61563,3.35558,4.79857,0.00466,0.0059,0.0467,0.7359,0.1289,0.10915,0,0.0,1.0,0.12779,0.12667
96,0.12667,0.12667,0.12779,0.12667,0.09873,1981-05-01,16553600,58.00906,54.44841,0.1253,0.12184,0.12129,0.28237,1.75667,-0.40707,-0.39961,-0.46083,-0.4341,0.0,2.50392,3.36986,4.80146,0.003,0.00589,-0.92181,0.41896,0.12794,0.10938,0,-0.00055,0.93255,0.12667,0.12612
97,0.12667,0.12612,0.12667,0.12612,0.0983,1981-05-04,14448000,56.65249,54.01714,0.12545,0.12217,0.12148,-0.22265,1.43969,-0.4087,-0.40773,-0.46068,-0.45048,-1.0,2.38073,3.37565,4.80767,0.00165,0.00563,-0.91711,-0.86675,0.12662,0.10972,0,-0.00056,0.9311,0.12612,0.12556
98,0.12612,0.12556,0.12612,0.12556,0.09786,1981-05-05,17539200,55.1923,53.56714,0.12547,0.12243,0.12164,-0.50165,1.12319,-0.42891,-0.41193,-0.46689,-0.45971,-1.0,2.26584,3.36891,4.81268,0.00143,0.00528,-0.94487,-0.98205,0.1257,0.11019,0,-0.00056,0.92937,0.12277,0.12221
99,0.12277,0.12221,0.12277,0.12221,0.09526,1981-05-06,18950400,47.1198,50.92359,0.12487,0.12242,0.12166,-1.45986,0.02557,-0.4712,-0.42558,-0.48628,-0.46704,-1.0,2.35461,3.35302,4.81508,0.00173,0.00467,-0.81513,-0.87855,0.12429,0.11082,0,0.0,1.0,0.12444,0.12388
100,0.12388,0.12388,0.12444,0.12388,0.09656,1981-05-07,9363200,51.08277,52.14982,0.12469,0.12253,0.12175,-0.70373,0.32814,-0.5083,-0.45287,-0.49952,-0.47776,0.0,2.28914,3.33729,4.81968,0.00154,0.004,-0.91754,-0.90809,0.12402,0.1116,0,0.0,1.0,0.12556,0.125
101,0.125,0.125,0.12556,0.125,0.09743,1981-05-08,7907200,53.67008,52.97074,0.12475,0.12272,0.12187,-0.17576,0.57372,-0.50838,-0.48272,-0.48805,-0.48775,0.0,2.20898,3.32659,4.81444,0.0013,0.00383,-0.9156,-0.98559,0.12421,0.11236,0,-0.00056,0.92937,0.12277,0.12221
102,0.12277,0.12221,0.12277,0.12221,0.09526,1981-05-11,11939200,46.81634,50.71312,0.12429,0.12268,0.12189,-0.95837,-0.28945,-0.48988,-0.49907,-0.46481,-0.4877,-1.0,2.26093,3.31482,4.80552,0.00136,0.00364,-0.91116,-0.98312,0.12363,0.11294,0,0.0,1.0,0.12388,0.12221
103,0.12221,0.12221,0.12388,0.12221,0.09526,1981-05-12,4256000,46.81634,50.71312,0.12391,0.12264,0.1219,-0.83825,-0.36541,-0.47192,-0.49612,-0.44634,-0.47526,0.0,2.20322,3.30721,4.79873,0.00151,0.00335,-0.94181,-0.99632,0.12302,0.11357,0,-0.00056,0.92908,0.12333,0.12165
104,0.12221,0.12165,0.12333,0.12165,0.09482,1981-05-13,4905600,45.38032,50.24672,0.1235,0.12257,0.12189,-0.96518,-0.61811,-0.46481,-0.4828,-0.43121,-0.45692,-0.33333,2.15967,3.30168,4.79222,0.00179,0.00303,-0.99543,-0.99458,0.12218,0.11413,0,-0.00111,0.86743,0.12109,0.11998
105,0.12109,0.11998,0.12109,0.11998,0.09352,1981-05-14,4928000,41.19355,48.85108,0.12286,0.12237,0.12181,-1.3765,-1.12574,-0.47135,-0.47245,-0.41724,-0.43952,-1.0,2.13825,3.29252,4.77795,0.0019,0.00305,-0.98922,-0.99539,0.12128,0.11449,0,0.0,1.0,0.12444,0.12277
106,0.12277,0.12277,0.12444,0.12277,0.09569,1981-05-15,4905600,49.79216,51.20948,0.12284,0.1224,0.12185,-0.15096,-0.2799,-0.46953,-0.46896,-0.40464,-0.42465,0.0,2.18922,3.29051,4.76448,0.00158,0.00305,-0.94376,-0.99701,0.12147,0.11486,0,0.0,1.0,0.12612,0.125
107,0.125,0.125,0.12612,0.125,0.09743,1981-05-18,4166400,55.56261,53.01327,0.12324,0.1226,0.12198,0.75725,0.40005,-0.44612,-0.46545,-0.39523,-0.4117,0.0,2.18435,3.29455,4.75195,0.00145,0.00307,-0.35097,-0.85592,0.1224,0.11528,0,-0.00056,0.92966,0.12333,0.12277
108,0.12333,0.12277,0.12333,0.12277,0.09569,1981-05-19,25424000,49.27067,51.04741,0.12315,0.12261,0.12201,0.00078,-0.27038,-0.40341,-0.45101,-0.38801,-0.40083,-1.0,2.19772,3.29687,4.73809,0.00112,0.00309,0.46697,-0.33701,0.12265,0.11576,0,0.0,1.0,0.12779,0.12667
109,0.12667,0.12667,0.12779,0.12667,0.09873,1981-05-20,13283200,58.42025,54.14513,0.12379,0.12292,0.12219,1.32139,0.92084,-0.35937,-0.42133,-0.37634,-0.39124,0.0,2.24832,3.30871,4.72931,0.00154,0.00317,0.96009,0.70622,0.12371,0.1164,0,0.0,1.0,0.13449,0.13393
110,0.13393,0.13393,0.13449,0.13393,0.10439,1981-05-21,32211200,69.71732,59.15686,0.12563,0.12377,0.12265,3.54383,2.99738,-0.33498,-0.38445,-0.36553,-0.38158,0.0,2.36595,3.32608,4.7349,0.00274,0.00327,0.81158,0.84055,0.12692,0.11725,0,0.0,1.0,0.14118,0.14007
