,OPEN,CLOSE,HIGH,LOW,ADJCLOSE,DATE,VOLUME,RSI_10,RSI_25,EMA_10,EMA_25,EMA_50,PGO_10,PGO_25,VIA_15,VIB_15,VIA_30,VIB_30,BOP,NAT_30,ETP_10,ETP_25,MAD_10,MAD_25,SIN_25,SIN_50,LIN_10,LIN_90,PREDICTION,TARGET_DIFF,TARGET_PCNT,TARGET_HI,TARGET_LO
89,1.41867,1.45133,1.5,1.41067,1.45133,2010-11-03,5589000,62.0162,55.22508,1.41659,1.39505,1.37682,0.77878,1.10896,-0.03287,-0.03774,-0.10078,-0.11297,0.36561,3.70764,3.36187,4.66214,0.0208,0.02588,0.88697,0.95965,1.43876,1.39861,0,0.15333,0.3709,1.68867,1.47667
90,1.50667,1.66,1.68867,1.47667,1.66,2010-11-04,28110000,81.07658,66.26346,1.46085,1.41543,1.38792,4.18642,4.43198,0.00813,-0.02541,-0.06665,-0.09913,0.72325,3.95486,3.3859,4.68619,0.04831,0.0379,0.67716,0.85067,1.50612,1.41713,0,-0.02867,0.7763,1.66467,1.58133
91,1.658,1.62933,1.66467,1.58133,1.62933,2010-11-05,15165000,74.93567,63.85335,1.49148,1.43189,1.39739,2.90514,3.71598,0.08575,0.0011,-0.00895,-0.07477,-0.34401,4.09935,3.40361,4.70565,0.07117,0.04881,0.85198,0.83642,1.55256,1.43421,0,0.032,0.75386,1.66667,1.602
92,1.63333,1.66533,1.66667,1.602,1.66533,2010-11-08,7642500,77.18902,65.39239,1.52309,1.44985,1.4079,2.90019,4.11843,0.15565,0.05176,0.03351,-0.03641,0.49482,4.00251,3.42131,4.72501,0.09437,0.0624,0.99364,0.95325,1.6001,1.45013,0,-0.02467,0.80214,1.71267,1.60333
93,1.66667,1.642,1.71267,1.60333,1.642,2010-11-09,14346000,72.49596,63.56537,1.54471,1.46463,1.41708,2.02729,3.5443,0.1875,0.11307,0.04212,0.0041,-0.22563,4.2271,3.43001,4.74102,0.10648,0.07469,0.98916,0.99801,1.63371,1.46095,0,0.32533,0.23136,1.998,1.60333
94,1.632,1.95733,1.998,1.60333,1.95733,2010-11-10,45907500,85.62315,73.85136,1.61973,1.50253,1.43826,5.47046,8.18422,0.22536,0.16624,0.05773,0.03334,0.82431,4.61821,3.46928,4.78421,0.139,0.10378,0.9619,0.99559,1.7466,1.48063,0,-0.03734,0.75396,1.94,1.822
95,1.90667,1.86933,1.94,1.822,1.86933,2010-11-11,29179500,74.58488,68.25015,1.66511,1.53074,1.45517,3.23704,6.27475,0.27103,0.20874,0.10226,0.05591,-0.31644,4.9907,3.49278,4.81876,0.14371,0.1271,0.95971,0.98087,1.81194,1.49546,0,0.106,0.516,2.03333,1.87133
96,1.88333,1.98933,2.03333,1.87133,1.98933,2010-11-12,40936500,78.73797,71.33801,1.72406,1.56602,1.47612,3.75745,7.57547,0.3046,0.24748,0.15759,0.08662,0.65432,4.91896,3.5175,4.85981,0.16072,0.1544,0.9976,0.9921,1.89859,1.51724,0,0.03866,0.75767,2.196,2.01467
97,2.01467,2.05333,2.196,2.01467,2.05333,2010-11-15,39343500,80.61511,72.80726,1.78393,1.6035,1.49875,3.47302,7.89395,0.32139,0.283,0.19917,0.12943,0.2132,5.10755,3.54606,4.90379,0.18715,0.18084,0.99722,0.99958,1.97741,1.5411,0,-0.08867,0.58309,2.09333,1.89467
98,2.06667,1.978,2.09333,1.89467,1.978,2010-11-16,20214000,72.27061,68.5019,1.81921,1.63231,1.51755,1.89481,6.19483,0.30848,0.30525,0.20467,0.17007,-0.44634,5.60796,3.56377,4.93977,0.17993,0.19892,0.9801,0.99856,2.00633,1.56057,0,-0.04733,0.71848,2.05,1.90733
